s,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m
Time,"Salon_T_upper","Salon_T_lower","Salon_O2_pct","Salon_CO_pct","Salon_CO2_pct","Salon_visibility_m","Pasillo_T_upper","Pasillo_T_lower","Pasillo_O2_pct","Pasillo_CO_pct","Pasillo_CO2_pct","Pasillo_visibility_m","Dormitorio1_T_upper","Dormitorio1_T_lower","Dormitorio1_O2_pct","Dormitorio1_CO_pct","Dormitorio1_CO2_pct","Dormitorio1_visibility_m","Dormitorio2_T_upper","Dormitorio2_T_lower","Dormitorio2_O2_pct","Dormitorio2_CO_pct","Dormitorio2_CO2_pct","Dormitorio2_visibility_m","Cocina_T_upper","Cocina_T_lower","Cocina_O2_pct","Cocina_CO_pct","Cocina_CO2_pct","Cocina_visibility_m","Bano_T_upper","Bano_T_lower","Bano_O2_pct","Bano_CO_pct","Bano_CO2_pct","Bano_visibility_m"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 1.0306330E+000, 2.0000259E+001, 2.0000270E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000234E+001, 2.0000271E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000243E+001, 2.0000264E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000260E+001, 2.0000232E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000266E+001, 2.0000249E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0000268E+001, 2.0000233E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 2.0612660E+000, 2.0003100E+001, 2.0003161E+001, 2.0755882E+001, 4.1636380E-032, 3.8641183E-002, 3.0000000E+001, 2.0003010E+001, 2.0003133E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0003041E+001, 2.0003111E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0003095E+001, 2.0003007E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0003118E+001, 2.0003058E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0003123E+001, 2.0003011E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 3.0918990E+000, 2.0009954E+001, 2.0010129E+001, 2.0755882E+001, 1.3058375E-028, 3.8641183E-002, 3.0000000E+001, 2.0009699E+001, 2.0009900E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0009753E+001, 2.0009866E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0009835E+001, 2.0009702E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0009878E+001, 2.0009777E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0009887E+001, 2.0009709E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 4.1225320E+000, 2.0018733E+001, 2.0019514E+001, 2.0755882E+001, 2.1076551E-026, 3.8641183E-002, 3.0000000E+001, 2.0017954E+001, 2.0018225E+001, 2.0755882E+001, 6.8975260E-085, 3.8641183E-002, 3.0000000E+001, 2.0018032E+001, 2.0018183E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0018135E+001, 2.0017966E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0018199E+001, 2.0018058E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0018211E+001, 2.0017979E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 5.0696125E+000, 2.0027837E+001, 2.0030721E+001, 2.0755882E+001, 2.4280187E-024, 3.8641183E-002, 3.0000000E+001, 2.0026199E+001, 2.0026529E+001, 2.0755882E+001, 4.6307587E-077, 3.8641183E-002, 3.0000000E+001, 2.0026299E+001, 2.0026481E+001, 2.0755882E+001, 8.1241347E-105, 3.8641183E-002, 3.0000000E+001, 2.0026415E+001, 2.0026220E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0026501E+001, 2.0026323E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001, 2.0026515E+001, 2.0026241E+001, 2.0755882E+001, 0.0000000E+000, 3.8641183E-002, 3.0000000E+001
 6.0396781E+000, 2.0039972E+001, 2.0045430E+001, 2.0755882E+001, 5.9199584E-022, 3.8641183E-002, 3.0000000E+001, 2.0036987E+001, 2.0037365E+001, 2.0755882E+001, 8.0174251E-072, 3.8641183E-002, 3.0000000E+001, 2.0037105E+001, 2.0037312E+001, 2.0755882E+001, 2.6839779E-097, 3.8641183E-002, 3.0000000E+001, 2.0037229E+001, 2.0037016E+001, 2.0755882E+001, 5.4824654E-118, 3.8641183E-002, 3.0000000E+001, 2.0037335E+001, 2.0037124E+001, 2.0755882E+001, 7.1132999E-142, 3.8641183E-002, 3.0000000E+001, 2.0037351E+001, 2.0037046E+001, 2.0755882E+001, 6.8324445E-152, 3.8641183E-002, 3.0000000E+001
 7.0907505E+000, 2.0056706E+001, 2.0065441E+001, 2.0755882E+001, 5.5228118E-018, 3.8641183E-002, 3.0000000E+001, 2.0051478E+001, 2.0051904E+001, 2.0755882E+001, 8.7346625E-068, 3.8641183E-002, 3.0000000E+001, 2.0051613E+001, 2.0051846E+001, 2.0755882E+001, 2.0524679E-092, 3.8641183E-002, 3.0000000E+001, 2.0051741E+001, 2.0051514E+001, 2.0755882E+001, 2.9853063E-110, 3.8641183E-002, 3.0000000E+001, 2.0051872E+001, 2.0051626E+001, 2.0755882E+001, 2.6281910E-131, 3.8641183E-002, 3.0000000E+001, 2.0051887E+001, 2.0051557E+001, 2.0755882E+001, 2.0185768E-138, 3.8641183E-002, 3.0000000E+001
 8.0706436E+000, 2.0076279E+001, 2.0088286E+001, 2.0755882E+001, 1.5962196E-014, 3.8641183E-002, 3.0000000E+001, 2.0067818E+001, 2.0068287E+001, 2.0755882E+001, 7.9485246E-065, 3.8641183E-002, 3.0000000E+001, 2.0067967E+001, 2.0068224E+001, 2.0755882E+001, 6.5775420E-089, 3.8641183E-002, 3.0000000E+001, 2.0068095E+001, 2.0067861E+001, 2.0755882E+001, 2.9510256E-105, 3.8641183E-002, 3.0000000E+001, 2.0068251E+001, 2.0067971E+001, 2.0755882E+001, 4.5340127E-125, 3.8641183E-002, 3.0000000E+001, 2.0068263E+001, 2.0067917E+001, 2.0755882E+001, 1.4988273E-131, 3.8641183E-002, 3.0000000E+001
