,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-05-05T11:47:01.834+02:00, 0.206E+00,   0.20613, 0.10109E+02
       2,2026-05-05T11:47:01.883+02:00, 0.206E+00,   0.41225, 0.10594E+02
       3,2026-05-05T11:47:01.963+02:00, 0.206E+00,   0.61838, 0.11094E+02
       4,2026-05-05T11:47:02.010+02:00, 0.206E+00,   0.82451, 0.11344E+02
       5,2026-05-05T11:47:02.046+02:00, 0.206E+00,   1.03063, 0.11656E+02
       6,2026-05-05T11:47:02.177+02:00, 0.206E+00,   1.23676, 0.12875E+02
       7,2026-05-05T11:47:02.226+02:00, 0.206E+00,   1.44289, 0.13219E+02
       8,2026-05-05T11:47:02.273+02:00, 0.206E+00,   1.64901, 0.13547E+02
       9,2026-05-05T11:47:02.354+02:00, 0.206E+00,   1.85514, 0.14359E+02
      10,2026-05-05T11:47:02.388+02:00, 0.206E+00,   2.06127, 0.14641E+02
      20,2026-05-05T11:47:02.975+02:00, 0.206E+00,   4.12253, 0.18688E+02
      30,2026-05-05T11:47:03.583+02:00, 0.110E+00,   5.71070, 0.24094E+02
      40,2026-05-05T11:47:04.053+02:00, 0.983E-01,   6.79591, 0.28500E+02
      50,2026-05-05T11:47:04.501+02:00, 0.856E-01,   7.70259, 0.32797E+02
      60,2026-05-05T11:47:05.004+02:00, 0.942E-01,   8.63556, 0.36953E+02
      70,2026-05-05T11:47:05.495+02:00, 0.942E-01,   9.57709, 0.40812E+02
      80,2026-05-05T11:47:06.020+02:00, 0.942E-01,  10.51862, 0.45266E+02
      90,2026-05-05T11:47:06.489+02:00, 0.942E-01,  11.46015, 0.49609E+02
     100,2026-05-05T11:47:06.939+02:00, 0.942E-01,  12.40168, 0.53562E+02
     200,2026-05-05T11:47:11.557+02:00, 0.847E-01,  21.14824, 0.97609E+02
     300,2026-05-05T11:47:16.499+02:00, 0.751E-01,  28.76230, 0.13925E+03
     400,2026-05-05T11:47:21.076+02:00, 0.553E-01,  35.60319, 0.18225E+03
     500,2026-05-05T11:47:25.613+02:00, 0.548E-01,  41.25341, 0.22417E+03
     600,2026-05-05T11:47:30.117+02:00, 0.467E-01,  46.44511, 0.26630E+03
     700,2026-05-05T11:47:34.819+02:00, 0.502E-01,  51.19937, 0.30745E+03
     800,2026-05-05T11:47:39.697+02:00, 0.465E-01,  55.92710, 0.34875E+03
     900,2026-05-05T11:47:44.508+02:00, 0.436E-01,  60.48155, 0.39088E+03
    1000,2026-05-05T11:47:49.190+02:00, 0.417E-01,  64.82025, 0.43077E+03
    1100,2026-05-05T11:47:54.101+02:00, 0.366E-01,  68.62985, 0.47053E+03
    1200,2026-05-05T11:47:58.498+02:00, 0.399E-01,  72.51492, 0.51278E+03
    1300,2026-05-05T11:48:03.032+02:00, 0.368E-01,  76.18552, 0.55383E+03
    1400,2026-05-05T11:48:07.638+02:00, 0.391E-01,  79.90965, 0.59477E+03
    1500,2026-05-05T11:48:12.189+02:00, 0.359E-01,  83.51188, 0.63702E+03
    1600,2026-05-05T11:48:16.565+02:00, 0.366E-01,  86.99539, 0.67936E+03
    1700,2026-05-05T11:48:21.270+02:00, 0.351E-01,  90.34310, 0.72106E+03
    1800,2026-05-05T11:48:25.803+02:00, 0.360E-01,  93.78226, 0.76245E+03
    1900,2026-05-05T11:48:30.537+02:00, 0.309E-01,  97.15945, 0.80369E+03
    2000,2026-05-05T11:48:35.174+02:00, 0.342E-01, 100.52637, 0.84569E+03
    2100,2026-05-05T11:48:39.899+02:00, 0.284E-01, 103.73731, 0.88844E+03
    2200,2026-05-05T11:48:44.533+02:00, 0.346E-01, 107.03016, 0.93034E+03
    2300,2026-05-05T11:48:49.304+02:00, 0.346E-01, 110.35429, 0.97161E+03
    2400,2026-05-05T11:48:53.867+02:00, 0.333E-01, 113.61483, 0.10152E+04
    2500,2026-05-05T11:48:58.567+02:00, 0.337E-01, 117.02055, 0.10573E+04
    2600,2026-05-05T11:49:03.179+02:00, 0.349E-01, 120.42524, 0.10996E+04
    2700,2026-05-05T11:49:07.800+02:00, 0.312E-01, 123.70374, 0.11426E+04
    2800,2026-05-05T11:49:12.429+02:00, 0.340E-01, 127.17328, 0.11854E+04
    2900,2026-05-05T11:49:17.070+02:00, 0.379E-01, 130.86463, 0.12277E+04
    3000,2026-05-05T11:49:22.262+02:00, 0.337E-01, 134.51481, 0.12680E+04
    3100,2026-05-05T11:49:27.254+02:00, 0.397E-01, 138.19741, 0.13099E+04
    3200,2026-05-05T11:49:32.024+02:00, 0.416E-01, 141.98786, 0.13534E+04
    3300,2026-05-05T11:49:36.810+02:00, 0.443E-01, 145.88120, 0.13970E+04
    3400,2026-05-05T11:49:41.637+02:00, 0.474E-01, 150.26779, 0.14419E+04
    3500,2026-05-05T11:49:46.585+02:00, 0.491E-01, 154.74545, 0.14852E+04
    3600,2026-05-05T11:49:51.563+02:00, 0.515E-01, 159.63188, 0.15304E+04
    3700,2026-05-05T11:49:56.539+02:00, 0.527E-01, 164.76916, 0.15751E+04
    3800,2026-05-05T11:50:01.790+02:00, 0.462E-01, 170.21546, 0.16216E+04
    3900,2026-05-05T11:50:06.939+02:00, 0.513E-01, 175.89794, 0.16685E+04
    4000,2026-05-05T11:50:11.869+02:00, 0.419E-01, 180.49350, 0.17145E+04
    4100,2026-05-05T11:50:16.430+02:00, 0.536E-01, 185.49004, 0.17611E+04
    4200,2026-05-05T11:50:21.492+02:00, 0.496E-01, 190.10278, 0.18084E+04
    4300,2026-05-05T11:50:26.510+02:00, 0.311E-01, 194.54179, 0.18548E+04
    4400,2026-05-05T11:50:31.726+02:00, 0.536E-01, 198.78403, 0.18991E+04
    4500,2026-05-05T11:50:36.685+02:00, 0.420E-01, 203.22217, 0.19444E+04
    4600,2026-05-05T11:50:41.584+02:00, 0.570E-01, 208.37272, 0.19920E+04
    4700,2026-05-05T11:50:46.599+02:00, 0.502E-01, 213.34712, 0.20396E+04
    4800,2026-05-05T11:50:52.267+02:00, 0.547E-01, 218.30497, 0.20854E+04
    4900,2026-05-05T11:50:57.614+02:00, 0.400E-01, 223.61186, 0.21328E+04
    5000,2026-05-05T11:51:02.876+02:00, 0.488E-01, 228.46808, 0.21803E+04
    5100,2026-05-05T11:51:08.167+02:00, 0.614E-01, 234.34915, 0.22301E+04
    5200,2026-05-05T11:51:13.440+02:00, 0.581E-01, 240.03610, 0.22793E+04
    5300,2026-05-05T11:51:18.830+02:00, 0.765E-01, 246.47325, 0.23290E+04
    5400,2026-05-05T11:51:24.394+02:00, 0.547E-01, 252.71495, 0.23782E+04
    5494,2026-05-05T11:51:29.476+02:00, 0.891E-01, 260.00000, 0.24261E+04
